source_row,split,target
339,policy_validation,Graduate
340,model_development,Graduate
341,policy_validation,Enrolled
342,policy_validation,Dropout
343,policy_validation,Graduate
344,model_development,Graduate
345,model_development,Enrolled
346,policy_validation,Graduate
347,policy_validation,Enrolled
348,policy_validation,Graduate
349,model_development,Graduate
350,policy_validation,Enrolled
351,policy_validation,Dropout
352,historical_holdout,Graduate
353,model_development,Dropout
354,model_development,Graduate
355,historical_holdout,Dropout
356,historical_holdout,Graduate
357,historical_holdout,Graduate
358,model_development,Dropout
359,model_development,Enrolled
360,model_development,Dropout
361,policy_validation,Graduate
362,historical_holdout,Dropout
363,model_development,Enrolled
364,model_development,Graduate
365,historical_holdout,Enrolled
366,model_development,Graduate
367,model_development,Graduate
368,historical_holdout,Enrolled
369,policy_validation,Graduate
370,model_development,Dropout
371,historical_holdout,Graduate
372,policy_validation,Enrolled
373,model_development,Graduate
374,model_development,Graduate
375,model_development,Dropout
376,model_development,Enrolled
377,model_development,Dropout
378,policy_validation,Graduate
379,policy_validation,Enrolled
380,policy_validation,Enrolled
381,model_development,Dropout
382,policy_validation,Enrolled
383,model_development,Enrolled
384,historical_holdout,Graduate
385,model_development,Graduate
386,model_development,Graduate
387,model_development,Graduate
388,historical_holdout,Graduate
389,model_development,Enrolled
390,model_development,Graduate
391,policy_validation,Enrolled
392,model_development,Enrolled
393,historical_holdout,Dropout
394,policy_validation,Dropout
395,policy_validation,Graduate
396,model_development,Graduate
397,policy_validation,Graduate
398,model_development,Graduate
399,model_development,Dropout
400,policy_validation,Dropout
401,model_development,Enrolled
402,model_development,Enrolled
403,model_development,Enrolled
404,model_development,Enrolled
405,policy_validation,Graduate
406,model_development,Graduate
407,model_development,Graduate
408,model_development,Graduate
409,historical_holdout,Graduate
410,policy_validation,Dropout
411,policy_validation,Graduate
412,model_development,Graduate
413,policy_validation,Graduate
414,historical_holdout,Graduate
415,historical_holdout,Graduate
416,model_development,Graduate
417,historical_holdout,Graduate
418,model_development,Dropout
419,historical_holdout,Graduate
420,model_development,Dropout
421,historical_holdout,Graduate
422,historical_holdout,Graduate
423,model_development,Dropout
424,historical_holdout,Graduate
425,model_development,Graduate
426,model_development,Graduate
427,policy_validation,Graduate
428,policy_validation,Enrolled
429,model_development,Dropout
430,historical_holdout,Graduate
431,model_development,Graduate
432,historical_holdout,Graduate
433,model_development,Graduate
434,historical_holdout,Dropout
435,model_development,Graduate
436,model_development,Graduate
437,model_development,Enrolled
438,model_development,Graduate
439,model_development,Dropout
440,policy_validation,Graduate
441,model_development,Enrolled
442,model_development,Enrolled
443,model_development,Graduate
444,policy_validation,Graduate
445,model_development,Graduate
446,policy_validation,Graduate
447,historical_holdout,Graduate
448,model_development,Dropout
449,policy_validation,Graduate
450,model_development,Enrolled
451,historical_holdout,Graduate
452,policy_validation,Graduate
453,model_development,Graduate
454,model_development,Graduate
455,model_development,Enrolled
456,model_development,Graduate
457,model_development,Dropout
458,model_development,Dropout
459,model_development,Graduate
460,historical_holdout,Graduate
461,model_development,Graduate
462,model_development,Graduate
463,policy_validation,Graduate
464,historical_holdout,Graduate
465,historical_holdout,Enrolled
466,policy_validation,Dropout
467,model_development,Enrolled
468,policy_validation,Graduate
469,policy_validation,Graduate
470,policy_validation,Graduate
471,model_development,Graduate
472,model_development,Graduate
473,model_development,Dropout
474,model_development,Graduate
475,model_development,Dropout
476,historical_holdout,Graduate
477,policy_validation,Dropout
478,historical_holdout,Dropout
479,model_development,Graduate
480,model_development,Enrolled
481,model_development,Graduate
482,model_development,Graduate
483,historical_holdout,Dropout
484,model_development,Enrolled
485,historical_holdout,Graduate
486,historical_holdout,Graduate
487,policy_validation,Dropout
488,model_development,Dropout
489,model_development,Graduate
490,model_development,Graduate
491,policy_validation,Graduate
492,model_development,Graduate
493,historical_holdout,Graduate
494,model_development,Enrolled
495,policy_validation,Enrolled
496,policy_validation,Dropout
497,model_development,Dropout
498,model_development,Graduate
499,model_development,Graduate
500,historical_holdout,Graduate
501,policy_validation,Enrolled
502,model_development,Graduate
503,historical_holdout,Enrolled
504,model_development,Dropout
505,model_development,Graduate
506,model_development,Enrolled
507,policy_validation,Enrolled
508,policy_validation,Graduate
509,model_development,Dropout
510,model_development,Dropout
511,historical_holdout,Enrolled
512,historical_holdout,Dropout
513,model_development,Graduate
514,model_development,Dropout
515,policy_validation,Dropout
516,model_development,Dropout
517,model_development,Graduate
518,historical_holdout,Dropout
519,model_development,Dropout
520,model_development,Dropout
521,model_development,Graduate
522,model_development,Graduate
523,policy_validation,Graduate
524,model_development,Graduate
525,policy_validation,Dropout
526,model_development,Dropout
527,model_development,Enrolled
528,policy_validation,Graduate
529,model_development,Dropout
530,model_development,Dropout
531,model_development,Enrolled
532,model_development,Dropout
533,model_development,Graduate
534,model_development,Dropout
535,model_development,Graduate
536,model_development,Graduate
537,historical_holdout,Dropout
538,policy_validation,Graduate
539,policy_validation,Graduate
540,model_development,Dropout
541,historical_holdout,Graduate
542,policy_validation,Enrolled
543,model_development,Graduate
544,model_development,Graduate
545,model_development,Enrolled
546,model_development,Enrolled
547,policy_validation,Enrolled
548,historical_holdout,Enrolled
549,model_development,Enrolled
550,model_development,Graduate
551,policy_validation,Dropout
552,historical_holdout,Dropout
553,model_development,Dropout
554,model_development,Dropout
555,model_development,Dropout
556,historical_holdout,Dropout
557,policy_validation,Enrolled
558,model_development,Graduate
559,model_development,Enrolled
560,policy_validation,Graduate
561,model_development,Graduate
562,model_development,Enrolled
563,historical_holdout,Dropout
564,model_development,Graduate
565,model_development,Graduate
566,historical_holdout,Graduate
567,historical_holdout,Dropout
568,policy_validation,Dropout
569,model_development,Graduate
570,model_development,Graduate
571,historical_holdout,Graduate
572,model_development,Dropout
573,policy_validation,Dropout
574,model_development,Enrolled
575,model_development,Graduate
576,model_development,Dropout
577,policy_validation,Graduate
578,model_development,Enrolled
579,model_development,Graduate
580,model_development,Graduate
581,model_development,Dropout
582,model_development,Graduate
583,model_development,Enrolled
584,model_development,Graduate
585,model_development,Graduate
586,model_development,Graduate
587,policy_validation,Graduate
588,model_development,Graduate
589,policy_validation,Graduate
590,model_development,Graduate
591,policy_validation,Graduate
592,historical_holdout,Enrolled
593,policy_validation,Graduate
594,model_development,Enrolled
595,model_development,Enrolled
596,model_development,Dropout
597,policy_validation,Dropout
598,historical_holdout,Dropout
599,historical_holdout,Graduate
600,model_development,Graduate
601,historical_holdout,Dropout
602,model_development,Dropout
603,model_development,Graduate
604,policy_validation,Graduate
605,model_development,Graduate
606,model_development,Dropout
607,policy_validation,Dropout
608,model_development,Graduate
609,policy_validation,Dropout
610,model_development,Enrolled
611,model_development,Graduate
612,historical_holdout,Graduate
613,policy_validation,Graduate
614,model_development,Enrolled
615,model_development,Graduate
616,model_development,Graduate
617,policy_validation,Graduate
618,historical_holdout,Graduate
619,historical_holdout,Graduate
620,model_development,Enrolled
621,model_development,Graduate
622,historical_holdout,Dropout
623,policy_validation,Dropout
624,policy_validation,Graduate
625,policy_validation,Dropout
626,model_development,Dropout
627,model_development,Graduate
628,policy_validation,Graduate
629,model_development,Graduate
630,historical_holdout,Graduate
631,policy_validation,Graduate
632,historical_holdout,Enrolled
633,historical_holdout,Graduate
634,historical_holdout,Graduate
635,model_development,Graduate
636,model_development,Graduate
637,model_development,Graduate
638,historical_holdout,Enrolled
639,model_development,Graduate
640,model_development,Dropout
641,model_development,Dropout
642,historical_holdout,Enrolled
643,model_development,Enrolled
644,model_development,Enrolled
645,model_development,Dropout
646,policy_validation,Enrolled
647,policy_validation,Enrolled
648,model_development,Graduate
649,model_development,Graduate
650,model_development,Graduate
651,model_development,Graduate
652,historical_holdout,Enrolled
653,historical_holdout,Graduate
654,model_development,Graduate
655,historical_holdout,Graduate
656,policy_validation,Enrolled
657,model_development,Enrolled
658,model_development,Graduate
659,historical_holdout,Graduate
660,model_development,Dropout
661,policy_validation,Graduate
662,model_development,Enrolled
663,historical_holdout,Graduate
664,model_development,Graduate
665,historical_holdout,Graduate
666,model_development,Graduate
667,model_development,Dropout
668,historical_holdout,Graduate
669,model_development,Dropout
670,model_development,Graduate
671,model_development,Graduate
672,model_development,Dropout
673,policy_validation,Graduate
674,historical_holdout,Graduate
675,model_development,Graduate
676,model_development,Dropout
677,policy_validation,Graduate
678,historical_holdout,Enrolled
679,policy_validation,Dropout
680,model_development,Graduate
681,historical_holdout,Graduate
682,model_development,Graduate
683,policy_validation,Dropout
684,model_development,Dropout
685,model_development,Graduate
686,policy_validation,Graduate
687,model_development,Dropout
688,model_development,Graduate
689,model_development,Graduate
690,model_development,Dropout
691,policy_validation,Dropout
692,model_development,Graduate
693,model_development,Enrolled
694,model_development,Dropout
695,model_development,Graduate
696,model_development,Dropout
697,historical_holdout,Graduate
698,model_development,Enrolled
699,model_development,Graduate
700,historical_holdout,Dropout
701,policy_validation,Enrolled
702,historical_holdout,Dropout
703,model_development,Dropout
704,historical_holdout,Dropout
705,model_development,Graduate
706,model_development,Dropout
707,model_development,Graduate
708,historical_holdout,Graduate
709,model_development,Graduate
710,model_development,Dropout
711,model_development,Dropout
712,model_development,Dropout
713,model_development,Graduate
714,historical_holdout,Graduate
715,model_development,Graduate
716,policy_validation,Graduate
717,model_development,Dropout
718,model_development,Dropout
719,model_development,Enrolled
720,model_development,Enrolled
721,model_development,Dropout
722,policy_validation,Enrolled
723,policy_validation,Graduate
724,historical_holdout,Dropout
725,policy_validation,Dropout
726,model_development,Graduate
727,model_development,Graduate
728,model_development,Dropout
729,historical_holdout,Graduate
730,model_development,Enrolled
731,historical_holdout,Dropout
732,historical_holdout,Graduate
733,model_development,Graduate
734,model_development,Graduate
735,historical_holdout,Dropout
736,model_development,Graduate
737,model_development,Enrolled
738,historical_holdout,Dropout
739,historical_holdout,Enrolled
740,model_development,Dropout
741,policy_validation,Dropout
742,model_development,Graduate
743,historical_holdout,Dropout
744,historical_holdout,Dropout
745,historical_holdout,Graduate
746,historical_holdout,Dropout
747,model_development,Dropout
748,historical_holdout,Graduate
749,model_development,Dropout
750,model_development,Graduate
751,historical_holdout,Graduate
752,model_development,Graduate
753,model_development,Graduate
754,model_development,Dropout
755,policy_validation,Graduate
756,model_development,Dropout
757,model_development,Dropout
758,model_development,Dropout
759,policy_validation,Graduate
760,historical_holdout,Graduate
761,historical_holdout,Graduate
762,policy_validation,Enrolled
763,model_development,Graduate
764,model_development,Enrolled
765,model_development,Graduate
766,model_development,Enrolled
767,model_development,Enrolled
768,policy_validation,Graduate
769,policy_validation,Graduate
770,model_development,Graduate
771,historical_holdout,Graduate
772,model_development,Dropout
773,model_development,Enrolled
774,historical_holdout,Graduate
775,policy_validation,Enrolled
776,model_development,Dropout
777,historical_holdout,Graduate
778,historical_holdout,Dropout
779,historical_holdout,Enrolled
780,policy_validation,Graduate
781,model_development,Graduate
782,model_development,Dropout
783,historical_holdout,Graduate
784,model_development,Enrolled
785,model_development,Graduate
786,model_development,Graduate
787,model_development,Graduate
788,model_development,Graduate
789,policy_validation,Dropout
790,policy_validation,Graduate
791,model_development,Graduate
792,historical_holdout,Dropout
793,model_development,Graduate
794,model_development,Graduate
795,policy_validation,Graduate
796,model_development,Graduate
797,historical_holdout,Graduate
798,model_development,Graduate
799,policy_validation,Graduate
800,historical_holdout,Enrolled
801,model_development,Enrolled
802,model_development,Dropout
803,model_development,Graduate
804,policy_validation,Graduate
805,model_development,Graduate
806,model_development,Enrolled
807,historical_holdout,Graduate
808,historical_holdout,Enrolled
809,model_development,Dropout
810,historical_holdout,Enrolled
811,policy_validation,Dropout
812,policy_validation,Graduate
813,model_development,Graduate
814,model_development,Graduate
815,model_development,Graduate
816,historical_holdout,Enrolled
817,policy_validation,Enrolled
818,model_development,Graduate
819,policy_validation,Enrolled
820,model_development,Graduate
821,historical_holdout,Graduate
822,model_development,Graduate
823,model_development,Enrolled
824,model_development,Graduate
825,model_development,Graduate
826,model_development,Graduate
827,model_development,Dropout
828,model_development,Graduate
829,model_development,Graduate
830,policy_validation,Dropout
831,historical_holdout,Dropout
832,model_development,Dropout
833,model_development,Enrolled
834,model_development,Dropout
835,model_development,Dropout
836,model_development,Enrolled
837,historical_holdout,Dropout
838,historical_holdout,Enrolled
839,historical_holdout,Dropout
840,historical_holdout,Graduate
841,model_development,Dropout
842,model_development,Enrolled
843,model_development,Dropout
844,historical_holdout,Graduate
845,policy_validation,Graduate
846,policy_validation,Dropout
847,policy_validation,Graduate
848,model_development,Graduate
849,model_development,Enrolled
850,historical_holdout,Graduate
851,model_development,Graduate
852,model_development,Enrolled
853,historical_holdout,Graduate
854,model_development,Graduate
855,model_development,Enrolled
856,model_development,Dropout
857,model_development,Dropout
858,policy_validation,Dropout
859,model_development,Dropout
860,policy_validation,Dropout
861,model_development,Dropout
862,model_development,Dropout
863,historical_holdout,Dropout
864,model_development,Dropout
865,model_development,Dropout
866,historical_holdout,Graduate
867,model_development,Dropout
868,model_development,Dropout
869,model_development,Graduate
870,historical_holdout,Graduate
871,model_development,Graduate
872,historical_holdout,Dropout
873,model_development,Graduate
874,model_development,Enrolled
875,model_development,Graduate
876,model_development,Graduate
877,model_development,Dropout
878,model_development,Dropout
879,model_development,Graduate
880,model_development,Dropout
881,historical_holdout,Graduate
882,model_development,Graduate
883,model_development,Dropout
884,model_development,Dropout
885,policy_validation,Graduate
886,model_development,Graduate
887,model_development,Graduate
888,model_development,Graduate
889,model_development,Graduate
890,model_development,Graduate
891,historical_holdout,Graduate
892,historical_holdout,Dropout
893,model_development,Graduate
894,historical_holdout,Dropout
895,model_development,Graduate
896,model_development,Dropout
897,model_development,Graduate
898,model_development,Graduate
899,model_development,Enrolled
900,policy_validation,Graduate
901,policy_validation,Dropout
902,model_development,Graduate
903,historical_holdout,Graduate
904,model_development,Graduate
905,model_development,Dropout
906,historical_holdout,Graduate
907,model_development,Dropout
908,model_development,Graduate
909,historical_holdout,Enrolled
910,model_development,Dropout
911,policy_validation,Graduate
912,policy_validation,Graduate
913,model_development,Dropout
914,model_development,Graduate
915,model_development,Dropout
916,model_development,Graduate
917,model_development,Dropout
918,historical_holdout,Dropout
919,policy_validation,Graduate
920,historical_holdout,Graduate
921,model_development,Graduate
922,historical_holdout,Graduate
923,model_development,Dropout
924,model_development,Dropout
925,policy_validation,Enrolled
926,historical_holdout,Graduate
927,policy_validation,Dropout
928,model_development,Enrolled
929,policy_validation,Enrolled
930,model_development,Dropout
931,model_development,Enrolled
932,model_development,Graduate
933,model_development,Graduate
934,policy_validation,Dropout
935,model_development,Enrolled
936,model_development,Graduate
937,model_development,Dropout
938,model_development,Enrolled
939,policy_validation,Enrolled
940,historical_holdout,Dropout
941,model_development,Graduate
942,model_development,Graduate
943,historical_holdout,Enrolled
944,model_development,Dropout
945,model_development,Graduate
946,model_development,Graduate
947,model_development,Graduate
948,policy_validation,Dropout
949,model_development,Graduate
950,model_development,Dropout
951,historical_holdout,Graduate
952,model_development,Dropout
953,model_development,Graduate
954,model_development,Dropout
955,model_development,Dropout
956,historical_holdout,Dropout
957,model_development,Graduate
958,model_development,Graduate
959,model_development,Graduate
960,model_development,Dropout
961,model_development,Dropout
962,historical_holdout,Graduate
963,historical_holdout,Graduate
964,policy_validation,Enrolled
965,policy_validation,Graduate
966,model_development,Graduate
967,historical_holdout,Dropout
968,policy_validation,Dropout
969,model_development,Dropout
970,historical_holdout,Enrolled
971,model_development,Graduate
972,policy_validation,Dropout
973,historical_holdout,Dropout
974,historical_holdout,Graduate
975,model_development,Graduate
976,policy_validation,Enrolled
977,historical_holdout,Graduate
978,historical_holdout,Graduate
979,model_development,Dropout
980,model_development,Graduate
981,policy_validation,Dropout
982,model_development,Enrolled
983,policy_validation,Graduate
984,model_development,Enrolled
985,policy_validation,Dropout
986,historical_holdout,Graduate
987,model_development,Graduate
988,model_development,Dropout
989,historical_holdout,Dropout
990,model_development,Dropout
991,model_development,Graduate
992,model_development,Graduate
993,model_development,Dropout
994,policy_validation,Graduate
995,policy_validation,Graduate
996,model_development,Graduate
997,policy_validation,Enrolled
998,model_development,Enrolled
999,policy_validation,Graduate
1000,model_development,Dropout
1001,model_development,Dropout
1002,historical_holdout,Dropout
1003,historical_holdout,Graduate
1004,model_development,Graduate
1005,model_development,Dropout
1006,historical_holdout,Graduate
1007,historical_holdout,Graduate
1008,model_development,Graduate
1009,model_development,Graduate
1010,historical_holdout,Graduate
1011,historical_holdout,Graduate
1012,model_development,Graduate
1013,historical_holdout,Graduate
1014,historical_holdout,Dropout
1015,model_development,Graduate
1016,model_development,Graduate
1017,model_development,Dropout
1018,historical_holdout,Graduate
1019,model_development,Dropout
1020,model_development,Graduate
1021,model_development,Graduate
1022,policy_validation,Graduate
1023,model_development,Graduate
1024,model_development,Graduate
1025,model_development,Graduate
1026,model_development,Dropout
1027,policy_validation,Graduate
1028,policy_validation,Graduate
1029,model_development,Graduate
1030,policy_validation,Graduate
1031,policy_validation,Graduate
1032,historical_holdout,Enrolled
1033,policy_validation,Graduate
1034,model_development,Graduate
1035,model_development,Dropout
1036,model_development,Enrolled
1037,model_development,Dropout
1038,model_development,Graduate
1039,historical_holdout,Graduate
1040,model_development,Enrolled
1041,model_development,Graduate
1042,historical_holdout,Graduate
1043,policy_validation,Graduate
1044,model_development,Graduate
1045,historical_holdout,Graduate
1046,policy_validation,Dropout
1047,model_development,Dropout
1048,model_development,Graduate
1049,model_development,Graduate
1050,model_development,Graduate
1051,model_development,Graduate
1052,policy_validation,Graduate
1053,model_development,Dropout
1054,historical_holdout,Graduate
1055,policy_validation,Graduate
1056,policy_validation,Graduate
1057,model_development,Dropout
1058,model_development,Graduate
1059,model_development,Dropout
1060,policy_validation,Graduate
1061,policy_validation,Dropout
1062,policy_validation,Dropout
1063,model_development,Graduate
1064,model_development,Graduate
1065,model_development,Enrolled
1066,model_development,Dropout
1067,policy_validation,Graduate
1068,model_development,Graduate
1069,historical_holdout,Graduate
1070,model_development,Graduate
1071,historical_holdout,Graduate
1072,model_development,Graduate
1073,policy_validation,Enrolled
1074,model_development,Graduate
1075,model_development,Graduate
1076,historical_holdout,Graduate
1077,model_development,Dropout
1078,model_development,Dropout
1079,policy_validation,Dropout
1080,model_development,Graduate
1081,model_development,Graduate
1082,model_development,Graduate
1083,policy_validation,Enrolled
1084,model_development,Graduate
1085,policy_validation,Graduate
1086,model_development,Dropout
1087,model_development,Graduate
1088,historical_holdout,Graduate
1089,policy_validation,Enrolled
1090,model_development,Enrolled
1091,model_development,Graduate
1092,model_development,Dropout
1093,model_development,Graduate
1094,model_development,Dropout
1095,policy_validation,Graduate
1096,historical_holdout,Dropout
1097,model_development,Dropout
1098,historical_holdout,Graduate
1099,policy_validation,Graduate
1100,model_development,Graduate
1101,historical_holdout,Dropout
1102,model_development,Dropout
1103,model_development,Enrolled
1104,policy_validation,Enrolled
1105,model_development,Graduate
1106,policy_validation,Dropout
1107,model_development,Dropout
1108,historical_holdout,Graduate
1109,model_development,Dropout
1110,policy_validation,Graduate
1111,model_development,Graduate
1112,model_development,Graduate
1113,model_development,Enrolled
1114,historical_holdout,Enrolled
1115,model_development,Graduate
1116,policy_validation,Graduate
1117,policy_validation,Dropout
1118,model_development,Graduate
1119,policy_validation,Enrolled
1120,historical_holdout,Graduate
1121,model_development,Enrolled
1122,model_development,Graduate
1123,policy_validation,Graduate
1124,model_development,Graduate
1125,model_development,Graduate
1126,model_development,Graduate
1127,policy_validation,Graduate
1128,model_development,Graduate
1129,model_development,Graduate
1130,model_development,Graduate
1131,model_development,Graduate
1132,policy_validation,Graduate
1133,policy_validation,Enrolled
1134,model_development,Graduate
1135,model_development,Dropout
